mascon_id,lat_center,lon_center,lon_center_0_360,lat_span_deg,lon_span_deg,area_km2,gsfc_location_code,gsfc_basin_code,country_of_center,frac_area_land,frac_area_arabian_peninsula,on_arabian_peninsula,leakage_2sigma_cm,leakage_trend_uncert_cm_per_yr,mean_noise_2sigma_cm,series_std_cm,signal_variance_cm2,noise_variance_cm2,variance_snr,n_months_observed
9366,18.0,43.684210500000006,43.6842105,1.0,1.0526316,12397.67,80,6009,Saudi Arabia,1.0,1.0,True,1.1369261808894142,0.1029245732256266,1.6917739677950863,3.3135229709573584,10.979434479062078,0.7405881850663975,13.825289817549166,254
9367,18.0,44.73684209999999,44.7368421,1.0,1.0526316,12397.67,80,6009,Saudi Arabia,1.0,1.0,True,1.012354627695168,0.136375350161346,1.5519386503222787,3.3480689465334756,11.209565670741776,0.6232197412491274,16.986538180376474,254
9368,18.0,45.7894737,45.7894737,1.0,1.0526316,12397.67,80,6009,Saudi Arabia,1.0,1.0,True,0.9053680779452185,0.1421988450282929,1.4329310107882185,3.171637667662891,10.0592854949381,0.5313034873032132,17.933219403465532,254
9369,18.0,46.842105300000014,46.8421053,1.0,1.0526316,12397.67,80,6009,Saudi Arabia,1.0,1.0,True,0.8470456274501992,0.13382821886106303,1.3549846363552815,2.845394603320194,8.096270448603684,0.4750735431602447,16.042141296158796,254
9370,18.0,47.894736800000004,47.8947368,1.0,1.0526316,12397.67,80,6009,Saudi Arabia,1.0,1.0,True,0.8383624331020334,0.11869648353141897,1.336848885581043,2.4490643355419293,5.997916119623432,0.46244143488574035,11.97010965530239,254
9371,18.0,48.947368400000016,48.9473684,1.0,1.0526316,12397.67,80,6009,Yemen,1.0,1.0,True,0.9069552284303336,0.10292290837558753,1.432584808343698,2.092502328432105,4.378565994493782,0.5310467877907898,7.24516049274881,254
9372,18.0,50.0,50.0,1.0,1.0526316,12397.67,80,6009,Yemen,1.0,1.0,True,0.8403861674398886,0.07037519886907118,1.4521192913764573,1.7812903222775454,3.1729952122396416,0.5456280559669775,4.815308024468004,254
9373,18.0,51.052631599999984,51.0526316,1.0,1.0526316,12397.67,80,6009,Yemen,1.0,1.0,True,0.8727836330850461,0.017989844843453052,1.5343429960128385,1.5523725844168406,2.4098606408490206,0.6091679049859786,2.9559875382871477,254
9374,18.0,52.105263199999996,52.1052632,1.0,1.0526316,12397.67,80,6009,Yemen,1.0,1.0,True,0.8941788095666481,-0.06150753179282023,1.5485305376760492,1.4545851527772817,2.1158179666801082,0.6204855211975594,2.40993930462149,254
9375,18.0,53.157894699999986,53.1578947,1.0,1.0526316,12397.67,80,6009,Oman,1.0,1.0,True,0.9172473675619875,-0.17431547148107532,1.5036301049819134,1.621159531829405,2.6281582276413356,0.5850245996742419,3.492389258682058,254
9376,18.0,54.2105263,54.2105263,1.0,1.0526316,12397.67,80,6009,Oman,1.0,1.0,True,1.0082477635368967,-0.2838830950149499,1.5623605695474323,2.0394166302570214,4.159220191768904,0.6316182106295631,5.585022600319292,254
9377,18.0,55.26315790000001,55.2631579,1.0,1.0526316,12397.67,80,6009,Oman,0.8380627929756809,0.8380627929756809,True,1.1650758211222962,-0.36771799653549403,1.7253729376351385,2.4720365983299013,6.110964943482469,0.7702967528244129,6.933260683075276,254
9378,18.0,56.315789499999994,56.3157895,1.0,1.0526316,12397.67,80,6009,Oman,0.40810617239323893,0.40810652000824665,False,1.396194328443977,-0.4288740044313611,1.9730883907475596,2.7977986734495497,7.82767741715606,1.0073611224664172,6.770477977143708,254
9379,17.0,44.476744199999985,44.4767442,1.0,1.0465116,12394.45,80,6009,Yemen,1.0,1.0,True,0.8523942891289591,0.06214480543076563,1.534223017830258,2.527837645507563,6.38996316204522,0.6090726407578397,9.491298959175865,254
9380,17.0,45.523255800000015,45.5232558,1.0,1.0465116,12394.45,80,6009,Yemen,1.0,1.0,True,0.7263041072722671,0.06015764164062692,1.4467707699670918,2.252689456441082,5.074609787160817,0.5416160867950811,8.369385272858008,254
9381,17.0,46.56976739999999,46.5697674,1.0,1.0465116,12394.45,80,6009,Yemen,1.0,1.0,True,0.6848186491008074,0.04710538063344418,1.3814937905924214,1.9757469346396692,3.903575949738049,0.493844223077936,6.904468185146729,254
9382,17.0,47.616279099999986,47.6162791,1.0,1.0465116,12394.45,80,6009,Yemen,1.0,1.0,True,0.752372257646912,0.05212925488275348,1.3474489151854399,1.8323364028086726,3.357456693057826,0.4698040123488489,6.146504935689599,254
9383,17.0,48.662790700000016,48.6627907,1.0,1.0465116,12394.45,80,6009,Yemen,1.0,1.0,True,0.8743981435406828,0.07695375423896693,1.3763933827497614,1.7900162066409078,3.204158020037105,0.4902044567478614,5.53637064276055,254
9384,17.0,49.70930229999999,49.7093023,1.0,1.0465116,12394.45,80,6009,Yemen,1.0,1.0,True,0.9051679801340926,0.09794526035331336,1.4060026855085654,1.8004964469854228,3.2417874556071316,0.5115221022074271,5.337531538945224,254
9385,17.0,50.75581399999999,50.755814,1.0,1.0465116,12394.45,80,6009,Yemen,1.0,1.0,True,0.958529019155389,0.07588430076070568,1.4853588725119604,1.7590872529978998,3.094387963659697,0.5708932299177009,4.420256891303089,254
9386,17.0,51.80232560000002,51.8023256,1.0,1.0465116,12394.45,80,6009,Yemen,1.0,1.0,True,1.187853505890633,0.008017303942481293,1.7184588623811945,1.7832598819046983,3.1800158064107586,0.7641355126657051,3.1615862025796932,254
9387,17.0,52.84883719999999,52.8488372,1.0,1.0465116,12394.45,80,6009,Yemen,0.9173464604552136,0.9173464604552136,True,1.1707090671962639,-0.1327509383433019,1.7307719116452336,1.9412519788426914,3.768459245360665,0.7751250642685993,3.861743503181061,254
9388,17.0,53.895348799999994,53.8953488,1.0,1.0465116,12394.45,80,6009,Oman,0.6032955909544301,0.6032955909544301,True,1.2931644434863132,-0.29286956451331064,1.9018458201533184,2.4791654763620197,6.14626145918532,0.9359285947841368,5.567019635299098,254
9389,17.0,54.94186049999999,54.9418605,1.0,1.0465116,12394.45,80,6009,Oman,0.37851596544222377,0.37851596544222377,False,1.5279083631899295,-0.437449974015209,2.0531668417590767,2.973146036170635,8.83959735239716,1.0907885916856765,7.1038593727283805,254
