,tws,reservoir,soil_moisture,groundwater,tws_minus_reservoir_only
2013-01-01,-63.211653148026535,-16.237446054050693,-38.30284167563754,-8.671365418338311,-46.97420709397584
2013-02-01,-45.17347006856339,-15.855696551918605,-39.73944927841239,10.4216757617676,-29.317773516644788
2013-04-01,-57.444836078167164,-18.846709350800882,-38.24963365555262,-0.3484930718136799,-38.598126727366285
2013-05-01,-27.433761494336906,-17.482020165863133,-34.619259248673266,24.66751792019949,-9.951741328473771
2013-06-01,-3.1919965958357386,-14.214859043963793,-25.976988729773744,36.999851177901796,11.022862448128055
2013-07-01,-20.54024003698483,-16.921598591918737,-38.97707168335089,35.358430238284804,-3.618641445066096
2013-10-01,25.793551588713843,-4.392186412304567,22.077771229188173,8.107966771830244,30.18573800101841
2013-11-01,39.792625059974135,-4.278443721717812,24.33343481494275,19.737633966749193,44.071068781691935
2013-12-01,36.55364680496107,-2.9829478422028126,31.502293465182756,8.034301181981126,39.53659464716389
2014-01-01,36.297124902958515,0.7002539088638946,45.679896904006085,-10.083025909911463,35.59687099409462
2014-03-01,59.48780940934975,1.0658073857829156,18.594627790396782,39.82737423317005,58.42200202356684
2014-04-01,28.970307603474414,3.2163284833153587,14.237564847162547,11.516414272996505,25.75397912015905
2014-05-01,31.229679431605742,2.66108503917754,10.73663499129069,17.831959401137507,28.56859439242821
2014-06-01,15.411119105909487,3.291982262490337,5.691741552762332,6.427395290656818,12.119136843419149
2014-08-01,1.6836307455788802,-1.4785671893910721,-9.5740939618993,12.736291896869252,3.1621979349699525
2014-09-01,7.256975856517778,-2.4673785874056473,9.439147871119888,0.28520657280354067,9.724354443923428
2014-10-01,22.052874092974157,0.5437746143292034,20.609748229847806,0.8993512487971465,21.509099478644956
2014-11-01,23.507292163749252,2.200433459815716,33.620589647621564,-12.313730943688038,21.30685870393354
2015-01-01,70.66046169201843,6.8759380076440975,35.30142543340374,28.48309825097058,63.784523684374335
2015-02-01,79.70027962179013,7.877179266444549,33.964498529497774,37.85860182584782,71.82310035534557
2015-03-01,82.8799628178679,8.818403944121211,59.31552160755599,14.746037266190712,74.0615588737467
2015-04-01,98.57151008984572,15.068511049069567,67.85036395183009,15.652635088946045,83.50299904077615
2015-05-01,105.29076221192547,15.864747643486673,60.12676225395094,29.299252314487838,89.4260145684388
2015-07-01,69.80644546981134,12.214797138821947,26.741197596845897,30.850450734143493,57.59164833098938
2015-08-01,6.850199355023644,8.177700672724383,6.942393587501359,-8.269894905202099,-1.3275013177007395
2015-09-01,-4.725078830589862,5.482505467034666,-7.424526109253188,-2.7830581883713412,-10.207584297624528
