time,tws_mm,tws_minus_res_mm,reservoir_mm,tws_mm_nlweighted,tws_minus_res_mm_nlweighted,reservoir_mm_nlweighted,tws_mm_paired,tws_mm_nlweighted_paired
2011-01-01,,,10.1207077285876,,,14.414472976034615,,
2011-02-01,-37.40124172834192,-47.245990436891645,9.85914628302642,-20.859673279074414,-34.00905102232618,13.149377743251772,-37.40124172834192,-20.859673279074414
2011-03-01,-12.001725234858899,-20.276146654152825,9.57818265097898,15.102297732991307,1.8118051757827764,13.290492557208532,-12.001725234858899,15.102297732991307
2011-04-01,-38.01130911334344,-45.10743070533312,8.095937775077886,-15.969207894486933,-26.43457226016415,10.465364365677214,-38.01130911334344,-15.969207894486933
2011-05-01,-40.86562514280118,-44.830638864271855,5.515107032776211,-18.442619721796607,-22.592374511931574,4.14975479013497,-40.86562514280118,-18.442619721796607
2011-06-01,,,4.009808800014395,,,0.37881713330150213,,
2011-07-01,-38.01735870456057,-47.21428929547641,5.692541057966733,-36.85010728220648,-37.52320419878691,0.6730969165804227,-38.01735870456057,-36.85010728220648
2011-08-01,-54.985224049215226,-62.60788462612048,4.638420595148159,-46.789367480036745,-44.89365007446647,-1.8957174055702883,-54.985224049215226,-46.789367480036745
2011-09-01,-52.49853458530174,-60.393487251268574,3.87995884932362,-44.73727140214615,-41.16167790265291,-3.575593499493233,-52.49853458530174,-44.73727140214615
2011-10-01,-47.058602473517006,-54.507389368147614,3.4743657250948607,-39.89261818417204,-35.29945890723231,-4.593159276939745,-47.058602473517006,-39.89261818417204
2011-11-01,-41.344661663042565,-47.09737731016893,2.8640374512089206,-29.208218739615585,-23.398264873228214,-5.809953866387372,-41.344661663042565,-29.208218739615585
2011-12-01,-49.951217965553965,-53.163797466158734,2.3893226714086793,-33.8441499953248,-27.458747730387206,-6.385402264937585,-49.951217965553965,-33.8441499953248
2012-01-01,-59.42543631733065,-60.902949018743264,1.1743942079388876,-44.751234968109074,-35.908137035733866,-8.843097932375215,-59.42543631733065,-44.751234968109074
2012-02-01,-38.6801665549293,-39.4525706879103,0.7402367395266084,-23.81716885917917,-15.916890835897876,-7.900278023281293,-38.6801665549293,-23.81716885917917
2012-03-01,-43.375269169486366,-43.26337334448615,0.5626746232944532,-27.26892111684048,-20.609169996601626,-6.659751120238857,-43.375269169486366,-27.26892111684048
2012-04-01,-56.93717060818961,-55.91288429222558,-0.4479096015154637,-41.10857938050966,-32.83801621697715,-8.27056316353251,-56.93717060818961,-41.10857938050966
2012-05-01,,,-2.295992263196964,,,-12.34447859776529,,
2012-06-01,-80.76203136455318,-77.15422000362767,-3.424884090988893,-68.37457325021305,-53.562733249655025,-14.811840000558039,-80.76203136455318,-68.37457325021305
2012-07-01,-67.23837789976773,-64.48479083303644,-4.096248271050766,-56.834367650280775,-40.23535120425153,-16.599016446029243,-67.23837789976773,-56.834367650280775
2012-08-01,-58.80158693976916,-56.995786729894036,-4.41656043613272,-48.68198193897231,-30.467519369807974,-18.21446256916434,-58.80158693976916,-48.68198193897231
2012-09-01,-44.34989537888761,-42.67035215674863,-4.961956286374304,-34.344476133492286,-15.61229960428038,-18.732176529211912,-44.34989537888761,-34.344476133492286
2012-10-01,,,-4.675457663818167,,,-17.8772181756152,,
2012-11-01,-68.34261051211874,-64.9644627847503,-5.101363694727068,-53.683176736349566,-35.21557590347363,-18.467600832875945,-68.34261051211874,-53.683176736349566
2012-12-01,-66.83878266797437,-62.557993762656615,-5.452360024706747,-49.41253097493867,-26.396977155102814,-23.015553819835855,-66.83878266797437,-49.41253097493867
