lat_center,lon_center,lat_span,lon_span,area_km2,location,mascon_id,lon_180,lat_min,lat_max,lon_min,lon_max
34.0,51.3422819,1.0,1.2080537,12384.63,80.0,9432,51.34228189999999,33.5,34.5,50.73825504999999,51.946308749999986
34.0,52.5503356,1.0,1.2080537,12384.63,80.0,9433,52.55033559999998,33.5,34.5,51.946308749999986,53.15436244999998
34.0,53.7583893,1.0,1.2080537,12384.63,80.0,9434,53.758389300000005,33.5,34.5,53.15436245000001,54.36241615
34.0,54.966443,1.0,1.2080537,12384.63,80.0,9435,54.966443,33.5,34.5,54.36241615,55.570469849999995
34.0,56.1744966,1.0,1.2080537,12384.63,80.0,9436,56.1744966,33.5,34.5,55.57046975,56.778523449999994
34.0,57.3825503,1.0,1.2080537,12384.63,80.0,9437,57.38255029999999,33.5,34.5,56.778523449999994,57.98657714999999
33.0,50.8305648,1.0,1.1960133,12405.01,80.0,9438,50.83056479999999,32.5,33.5,50.23255814999999,51.42857144999999
33.0,52.0265781,1.0,1.1960133,12405.01,80.0,9439,52.026578099999995,32.5,33.5,51.42857144999999,52.62458475
33.0,53.2225914,1.0,1.1960133,12405.01,80.0,9440,53.2225914,32.5,33.5,52.62458475,53.82059805
33.0,54.4186047,1.0,1.1960133,12405.01,80.0,9441,54.4186047,32.5,33.5,53.82059805,55.016611350000005
33.0,55.6146179,1.0,1.1960133,12405.01,80.0,9442,55.614617899999985,32.5,33.5,55.01661124999998,56.21262454999999
33.0,56.8106312,1.0,1.1960133,12405.01,80.0,9443,56.81063119999999,32.5,33.5,56.21262454999999,57.40863784999999
33.0,58.0066445,1.0,1.1960133,12405.01,80.0,9444,58.00664449999999,32.5,33.5,57.40863784999999,58.604651149999995
32.0,52.5245902,1.0,1.1803279,12380.52,80.0,9445,52.524590200000006,31.5,32.5,51.93442625000001,53.11475415
32.0,53.704918,1.0,1.1803279,12380.52,80.0,9446,53.70491799999999,31.5,32.5,53.114754049999995,54.29508194999999
32.0,54.8852459,1.0,1.1803279,12380.52,80.0,9447,54.8852459,31.5,32.5,54.295081950000004,55.47540985
32.0,56.0655738,1.0,1.1803279,12380.52,80.0,9448,56.06557380000001,31.5,32.5,55.47540985000001,56.65573775000001
32.0,57.2459016,1.0,1.1803279,12380.52,80.0,9449,57.245901599999996,31.5,32.5,56.65573765,57.836065549999994
32.0,58.4262295,1.0,1.1803279,12380.52,80.0,9450,58.426229500000005,31.5,32.5,57.83606555000001,59.01639345
32.0,59.6065574,1.0,1.1803279,12380.52,80.0,9451,59.606557399999986,31.5,32.5,59.01639344999999,60.19672134999998
31.0,52.012987,1.0,1.1688312,12393.06,80.0,9452,52.01298700000001,30.5,31.5,51.42857140000001,52.59740260000001
31.0,53.1818182,1.0,1.1688312,12393.06,80.0,9453,53.18181820000001,30.5,31.5,52.59740260000001,53.76623380000001
31.0,54.3506494,1.0,1.1688312,12393.06,80.0,9454,54.35064940000001,30.5,31.5,53.76623380000001,54.93506500000001
31.0,55.5194805,1.0,1.1688312,12393.06,80.0,9455,55.519480499999986,30.5,31.5,54.935064899999986,56.103896099999986
31.0,56.6883117,1.0,1.1688312,12393.06,80.0,9456,56.688311699999986,30.5,31.5,56.103896099999986,57.272727299999985
31.0,57.8571429,1.0,1.1688312,12393.06,80.0,9457,57.857142899999985,30.5,31.5,57.272727299999985,58.441558499999985
31.0,59.025974,1.0,1.1688312,12393.06,80.0,9458,59.02597399999999,30.5,31.5,58.44155839999999,59.61038959999999
30.0,52.6688103,1.0,1.1575563,12401.62,80.0,9459,52.66881029999999,29.5,30.5,52.09003214999999,53.24758844999999
30.0,53.8263666,1.0,1.1575563,12401.62,80.0,9460,53.8263666,29.5,30.5,53.24758845,54.40514475
30.0,54.9839228,1.0,1.1575563,12401.62,80.0,9461,54.983922800000016,29.5,30.5,54.40514465000002,55.562700950000014
30.0,56.1414791,1.0,1.1575563,12401.62,80.0,9462,56.1414791,29.5,30.5,55.56270095,56.720257249999996
30.0,57.2990354,1.0,1.1575563,12401.62,80.0,9463,57.29903540000001,29.5,30.5,56.72025725000001,57.877813550000006
30.0,58.4565916,1.0,1.1575563,12401.62,80.0,9464,58.456591599999996,29.5,30.5,57.87781345,59.035369749999994
30.0,59.6141479,1.0,1.1575563,12401.62,80.0,9465,59.614147900000006,29.5,30.5,59.03536975000001,60.192926050000004
29.0,56.7515924,1.0,1.1464968,12406.28,80.0,9466,56.75159239999999,28.5,29.5,56.178343999999996,57.32484079999999
29.0,57.8980892,1.0,1.1464968,12406.28,80.0,9467,57.898089200000015,28.5,29.5,57.32484080000002,58.47133760000001
29.0,59.044586,1.0,1.1464968,12406.28,80.0,9468,59.04458600000001,28.5,29.5,58.47133760000001,59.61783440000001
29.0,60.1910828,1.0,1.1464968,12406.28,80.0,9469,60.191082800000004,28.5,29.5,59.61783440000001,60.7643312
28.0,58.4858044,1.0,1.1356467,12407.1,80.0,9470,58.485804400000006,27.5,28.5,57.91798105000001,59.053627750000004
28.0,59.6214511,1.0,1.1356467,12407.1,80.0,9471,59.6214511,27.5,28.5,59.053627750000004,60.18927445
28.0,60.7570978,1.0,1.1356467,12407.1,80.0,9472,60.7570978,27.5,28.5,60.18927445,61.324921149999994
27.0,59.0625,1.0,1.125,12404.16,80.0,9473,59.0625,26.5,27.5,58.5,59.625
27.0,60.1875,1.0,1.125,12404.16,80.0,9474,60.1875,26.5,27.5,59.625,60.75
27.0,57.9375,1.0,1.125,12404.16,80.0,9475,57.9375,26.5,27.5,57.375,58.5
27.0,61.3125,1.0,1.125,12404.16,80.0,9476,61.3125,26.5,27.5,60.75,61.875
26.0,57.3993808,1.0,1.1145511,12397.52,80.0,9478,57.39938080000002,25.5,26.5,56.84210525000002,57.95665635000002
26.0,58.5139319,1.0,1.1145511,12397.52,80.0,9479,58.51393189999999,25.5,26.5,57.95665634999999,59.07120744999999
26.0,59.628483,1.0,1.1145511,12397.52,80.0,9480,59.62848300000002,25.5,26.5,59.07120745000002,60.18575855000002
26.0,60.7430341,1.0,1.1145511,12397.52,80.0,9481,60.74303409999999,25.5,26.5,60.18575854999999,61.30030964999999
26.0,61.8575851,1.0,1.1145511,12397.52,80.0,9482,61.857585099999994,25.5,26.5,61.300309549999994,62.414860649999994
26.0,62.9721362,1.0,1.1145511,12397.52,80.0,9483,62.972136199999994,25.5,26.5,62.414860649999994,63.529411749999994
26.0,64.0866873,1.0,1.1145511,12397.52,80.0,9484,64.0866873,25.5,26.5,63.529411749999994,64.64396285
25.0,60.1840491,1.0,1.1042945,12387.25,80.0,9487,60.18404910000001,24.5,25.5,59.63190185000001,60.73619635000001
25.0,61.2883436,1.0,1.1042945,12387.25,80.0,9488,61.28834359999999,24.5,25.5,60.73619634999999,61.84049084999999
25.0,62.392638,1.0,1.1042945,12387.25,80.0,9489,62.392638000000005,24.5,25.5,61.84049075000001,62.94478525
25.0,63.4969325,1.0,1.1042945,12387.25,80.0,9490,63.496932500000014,24.5,25.5,62.94478525000002,64.04907975000002
30.0,64.244373,1.0,1.1575563,12401.62,80.0,9493,64.244373,29.5,30.5,63.66559485,64.82315115
29.0,61.3375796,1.0,1.1464968,12406.28,80.0,9496,61.3375796,28.5,29.5,60.7643312,61.910827999999995
29.0,62.4840764,1.0,1.1464968,12406.28,80.0,9497,62.48407639999999,28.5,29.5,61.910827999999995,63.05732479999999
29.0,63.6305732,1.0,1.1464968,12406.28,80.0,9498,63.630573200000015,28.5,29.5,63.05732480000002,64.20382160000001
28.0,61.8927445,1.0,1.1356467,12407.1,80.0,9501,61.89274449999999,27.5,28.5,61.324921149999994,62.46056784999999
28.0,63.0283912,1.0,1.1356467,12407.1,80.0,9502,63.02839119999999,27.5,28.5,62.46056784999999,63.596214549999985
28.0,64.1640379,1.0,1.1356467,12407.1,80.0,9503,64.16403789999998,27.5,28.5,63.596214549999985,64.73186124999998
